ID,Geslacht,Loopbaan,Studieprogramma,Oms. Studieprog.,Faculteit,Ingangsd.start,Opleidingsnr.start,Status,Progr.actie,Datum actie start,Ingangsd.eind,Opleidingsnr.eind,Status,Progr.actie,Datum actie,Actiereden,Studiepl.dipl.,Studieniv.dipl.,Ingangsd.dipl.,Status,Statusdatum,Examendatum
6049141,F,10,3056,B Beta-gamma,FNWI,1-9-2009,0,AC,ACTV,5-4-2010,31-8-2014,0,SP,SPND,2-10-2014,410,305615,B,9-10-2014,Z,9-10-2014,29-8-2014
6052940,M,10,3056,B Beta-gamma,FNWI,1-9-2010,1,AC,MATR,22-8-2010,31-8-2011,1,DC,DISC,23-8-2011,392,,,,,,
6060463,M,10,3056,B Beta-gamma,FNWI,1-9-2010,1,AC,MATR,19-7-2010,31-8-2016,1,SP,SPND,28-10-2016,410,305615,B,4-10-2016,Z,4-10-2016,20-4-2016
6060919,M,10,3056,B Beta-gamma,FNWI,1-9-2009,0,AC,ACTV,5-4-2010,31-8-2010,0,SP,SPND,29-6-2010,410,,,,,,
6070574,M,10,3056,B Beta-gamma,FNWI,1-9-2010,1,AC,MATR,21-6-2010,31-8-2014,2,SP,SPND,7-10-2014,410,305615,B,17-7-2014,Z,17-7-2014,30-6-2014
6116442,M,10,3056,B Beta-gamma,FNWI,1-9-2009,0,AC,ACTV,5-4-2010,1-2-2017,2,AC,MATR,1-12-2016,120,,,,,,
6148565,F,10,3056,B Beta-gamma,FNWI,1-9-2009,0,AC,ACTV,5-4-2010,31-8-2013,0,SP,SPND,25-9-2013,410,305615,B,30-8-2013,Z,30-8-2013,28-6-2013
5927110,M,10,3049,B Bio-exact,FNWI,1-9-2008,0,AC,ACTV,5-4-2010,31-8-2012,0,SP,SPND,3-3-2013,410,,,,,,
10002352,F,10,3048,B Biologie,FNWI,1-9-2010,0,AC,MATR,21-6-2010,31-8-2013,0,SP,SPND,10-1-2014,410,304815,B,2-10-2013,Z,2-10-2013,30-8-2013
10012060,F,10,3048,B Biologie,FNWI,1-9-2010,0,AC,MATR,8-6-2010,31-8-2013,0,SP,SPND,10-1-2014,410,304815,B,2-10-2013,Z,2-10-2013,30-8-2013
10024786,M,10,3048,B Biologie,FNWI,1-9-2010,0,AC,MATR,8-6-2010,31-8-2014,0,SP,SPND,7-10-2014,410,304815,B,10-6-2014,Z,10-6-2014,30-5-2014
10054154,M,10,3048,B Biologie,FNWI,1-9-2011,1,AC,MATR,23-8-2011,31-8-2014,1,SP,SPND,28-10-2014,410,304815,B,1-10-2014,Z,1-10-2014,25-8-2014
