ID,Geslacht,Loopbaan,Studieprogramma,Oms. Studieprog.,Ingangsd.start,Opleidingsnr.start,Status,Progr.actie,Datum actie start,Ingangsd.eind,Opleidingsnr.eind,Status,Progr.actie,Datum actie,Actiereden,Studiepl.dipl.,Studieniv.dipl.,Ingangsd.dipl.,Status,Statusdatum,Examendatum
10430695,F,15,4117,M Logic,1-9-2016,0,AC,MATR,19-6-2016,1-9-2016,0,AC,MATR,19-6-2016,120,,,,,,
10433120,M,15,4118,M System & Network Engineering,1-9-2016,0,AC,MATR,27-6-2016,1-9-2016,0,AC,MATR,27-6-2016,120,,,,,,
10437215,M,15,4121,M Artificial Intelligence,1-9-2017,0,AC,MATR,23-12-2016,1-9-2017,0,AC,MATR,23-12-2016,120,,,,,,
10437495,F,15,4120,M Information Studies,1-9-2016,0,AC,MATR,1-5-2016,1-9-2016,0,AC,MATR,1-5-2016,120,,,,,,
10438033,F,15,4120,M Information Studies,1-9-2017,1,AC,MATR,24-3-2017,1-9-2017,1,AC,MATR,24-3-2017,120,,,,,,
10438033,F,15,4121,M Artificial Intelligence,1-9-2017,0,AC,MATR,20-2-2017,1-9-2017,0,AC,MATR,20-2-2017,120,,,,,,
10438033,F,15,4277,M Computational Science (jd),1-9-2017,2,AC,MATR,25-3-2017,1-9-2017,2,AC,MATR,25-3-2017,120,,,,,,
10439080,F,15,4119,M Software Engineering,1-9-2017,0,AC,MATR,17-1-2017,1-9-2017,0,AC,MATR,17-1-2017,120,,,,,,
10440615,M,15,4119,M Software Engineering,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10441913,M,15,4120,M Information Studies,1-9-2016,0,AC,MATR,11-8-2016,1-9-2016,0,AC,MATR,11-8-2016,120,,,,,,
10449086,M,15,4120,M Information Studies,1-9-2017,0,AC,MATR,3-2-2017,1-9-2017,0,AC,MATR,3-2-2017,120,,,,,,
10455574,F,15,4277,M Computational Science (jd),1-9-2016,0,AC,MATR,20-6-2016,1-9-2016,0,AC,MATR,20-6-2016,120,,,,,,
10456716,M,15,4277,M Computational Science (jd),1-9-2017,0,AC,MATR,21-2-2017,1-9-2017,0,AC,MATR,21-2-2017,120,,,,,,
10465030,F,15,4277,M Computational Science (jd),1-9-2017,0,AC,MATR,16-12-2016,1-9-2017,0,AC,MATR,16-12-2016,120,,,,,,
10470026,M,15,4119,M Software Engineering,1-9-2017,2,AC,MATR,27-1-2017,1-9-2017,2,AC,MATR,27-1-2017,120,,,,,,
10487743,F,15,4120,M Information Studies,1-9-2017,0,AC,MATR,29-3-2017,1-9-2017,0,AC,MATR,29-3-2017,120,,,,,,
10487743,F,15,4278,M Computer Science (jd),1-9-2017,1,AC,MATR,29-3-2017,1-9-2017,1,AC,MATR,29-3-2017,120,,,,,,
10492283,F,15,4277,M Computational Science (jd),1-9-2017,0,AC,MATR,11-2-2017,1-9-2017,0,AC,MATR,11-2-2017,120,,,,,,
10517820,M,15,4119,M Software Engineering,1-9-2017,0,AC,MATR,23-2-2017,1-9-2017,0,AC,MATR,23-2-2017,120,,,,,,
10521933,F,15,4121,M Artificial Intelligence,1-9-2017,0,AC,MATR,30-3-2017,1-9-2017,0,AC,MATR,30-3-2017,120,,,,,,
10529136,M,15,4121,M Artificial Intelligence,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10533176,F,15,4120,M Information Studies,1-9-2017,0,AC,MATR,1-4-2017,1-9-2017,0,AC,MATR,1-4-2017,120,,,,,,
10535837,F,15,4120,M Information Studies,1-9-2016,0,AC,MATR,1-5-2016,1-9-2016,0,AC,MATR,1-5-2016,120,,,,,,
10543147,M,15,4120,M Information Studies,1-9-2016,0,AC,MATR,30-5-2016,1-9-2016,0,AC,MATR,30-5-2016,120,,,,,,
10556370,M,15,4120,M Information Studies,1-9-2013,0,AC,MATR,2-5-2013,31-8-2015,0,SP,SPND,13-11-2015,410,412025,M,11-9-2015,Z,11-9-2015,30-8-2015
10558284,M,15,4120,M Information Studies,1-9-2017,0,AC,MATR,31-3-2017,1-9-2017,0,AC,MATR,31-3-2017,120,,,,,,
10560459,M,15,4120,M Information Studies,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10565051,M,15,4120,M Information Studies,1-9-2016,0,AC,MATR,15-6-2016,1-9-2016,0,AC,MATR,15-6-2016,120,,,,,,
10572546,M,15,4120,M Information Studies,1-9-2016,1,AC,MATR,20-5-2016,1-9-2016,1,AC,MATR,20-5-2016,120,,,,,,
10572929,M,15,4120,M Information Studies,1-9-2017,0,AC,MATR,28-2-2017,1-9-2017,0,AC,MATR,28-2-2017,120,,,,,,
10576371,F,15,4120,M Information Studies,1-9-2016,0,AC,MATR,14-6-2016,1-9-2016,0,AC,MATR,14-6-2016,120,,,,,,
10578633,M,15,4120,M Information Studies,1-9-2017,0,AC,MATR,1-4-2017,1-9-2017,0,AC,MATR,1-4-2017,120,,,,,,
10580395,M,15,4120,M Information Studies,1-9-2016,0,AC,MATR,1-5-2016,1-9-2016,0,AC,MATR,1-5-2016,120,,,,,,
10580395,M,15,4121,M Artificial Intelligence,1-9-2017,1,AC,MATR,13-2-2017,1-9-2017,1,AC,MATR,13-2-2017,120,,,,,,
10587306,M,15,4120,M Information Studies,1-9-2016,0,AC,MATR,2-5-2016,1-9-2017,2,AC,MATR,27-3-2017,120,,,,,,
10597808,F,15,4120,M Information Studies,1-9-2016,0,AC,MATR,2-5-2016,1-2-2017,1,AC,MATR,19-1-2017,120,,,,,,
10611002,M,15,4119,M Software Engineering,1-9-2014,1,AC,MATR,14-7-2014,31-8-2015,1,SP,SPND,13-11-2015,410,,,,,,
10611002,M,15,4120,M Information Studies,1-9-2014,0,AC,MATR,6-5-2014,30-9-2016,2,DC,VDIS,27-9-2016,200,412025,M,5-10-2016,Z,5-10-2016,15-9-2016
10626646,M,15,4120,M Information Studies,1-9-2016,0,AC,MATR,24-6-2016,1-9-2016,0,AC,MATR,24-6-2016,120,,,,,,
10645373,M,15,4120,M Information Studies,1-9-2017,0,AC,MATR,14-1-2017,1-9-2017,0,AC,MATR,14-1-2017,120,,,,,,
10655751,M,15,4121,M Artificial Intelligence,1-9-2017,0,AC,MATR,30-3-2017,1-9-2017,0,AC,MATR,30-3-2017,120,,,,,,
